Target Distance: 50, steps size :2
297: (x,y)=(-26.7892 , 7.11938)
298: (x,y)=(-24.7895 , 7.08447)
299: (x,y)=(-25.2733 , 5.14388)
300: (x,y)=(-25.2035 , 3.1451)
301: (x,y)=(-23.6062 , 4.34873)
302: (x,y)=(-24.5142 , 6.13074)
303: (x,y)=(-23.9295 , 8.04335)
304: (x,y)=(-22.8696 , 6.34725)
305: (x,y)=(-24.7822 , 6.932)
306: (x,y)=(-26.0136 , 5.35598)
307: (x,y)=(-26.5648 , 3.43345)
308: (x,y)=(-25.7196 , 1.62084)
309: (x,y)=(-25.8243 , -0.376422)
310: (x,y)=(-23.9449 , 0.307619)
311: (x,y)=(-22.5062 , -1.0817)
312: (x,y)=(-22.3667 , 0.91343)
313: (x,y)=(-21.6827 , 2.79282)
314: (x,y)=(-19.7264 , 3.20864)
315: (x,y)=(-20.696 , 1.4594)
316: (x,y)=(-18.9816 , 0.429323)
317: (x,y)=(-19.7951 , 2.25641)
318: (x,y)=(-18.7058 , 0.579073)
319: (x,y)=(-18.5663 , 2.5742)
320: (x,y)=(-16.889 , 3.66348)
321: (x,y)=(-18.8296 , 4.14732)
322: (x,y)=(-17.7995 , 2.43299)
323: (x,y)=(-15.8974 , 3.05102)
324: (x,y)=(-16.8054 , 4.83304)
325: (x,y)=(-18.1694 , 6.29574)
326: (x,y)=(-16.4373 , 7.29574)
327: (x,y)=(-15.3775 , 5.59965)
328: (x,y)=(-13.4981 , 6.28369)
329: (x,y)=(-13.811 , 4.30831)
330: (x,y)=(-15.7131 , 3.69028)
331: (x,y)=(-14.9639 , 1.83591)
332: (x,y)=(-14.0249 , 0.0700132)
333: (x,y)=(-12.6107 , -1.3442)
334: (x,y)=(-13.7 , -3.02154)
335: (x,y)=(-14.7 , -4.75359)
336: (x,y)=(-15.6696 , -3.00435)
337: (x,y)=(-16.3207 , -1.11332)
338: (x,y)=(-14.3317 , -0.904259)
339: (x,y)=(-13.7804 , -2.82678)
340: (x,y)=(-14.5296 , -4.68115)
341: (x,y)=(-12.7476 , -3.77317)
342: (x,y)=(-13.6866 , -5.53906)
343: (x,y)=(-15.4842 , -6.41581)
344: (x,y)=(-15.7279 , -4.43071)
345: (x,y)=(-16.9035 , -2.81268)
346: (x,y)=(-15.394 , -4.1248)
347: (x,y)=(-14.6126 , -2.28379)
348: (x,y)=(-15.3618 , -0.429421)
349: (x,y)=(-15.6401 , -2.40996)
350: (x,y)=(-13.8275 , -1.56472)
351: (x,y)=(-15.4658 , -0.417567)
352: (x,y)=(-14.7166 , 1.4368)
353: (x,y)=(-16.6187 , 0.818766)
354: (x,y)=(-14.9804 , 1.96592)
355: (x,y)=(-13.9206 , 3.66202)
356: (x,y)=(-12.1547 , 2.72307)
357: (x,y)=(-11.2157 , 0.957177)
358: (x,y)=(-9.21575 , 0.957177)
359: (x,y)=(-10.6544 , -0.43214)
360: (x,y)=(-12.5455 , -1.08328)
361: (x,y)=(-14.4365 , -1.73441)
362: (x,y)=(-16.2636 , -0.920939)
363: (x,y)=(-17.7499 , 0.417322)
364: (x,y)=(-15.9523 , 1.29406)
365: (x,y)=(-16.1266 , -0.698325)
366: (x,y)=(-14.2245 , -0.080291)
367: (x,y)=(-15.8628 , 1.06686)
368: (x,y)=(-16.6763 , -0.760229)
369: (x,y)=(-17.1262 , -2.70897)
370: (x,y)=(-16.0369 , -4.38631)
371: (x,y)=(-17.4262 , -2.94763)
372: (x,y)=(-16.9424 , -4.88822)
373: (x,y)=(-15.8825 , -3.19213)
374: (x,y)=(-14.0031 , -3.87617)
375: (x,y)=(-14.5879 , -5.78878)
376: (x,y)=(-13.4695 , -4.1307)
377: (x,y)=(-12.4999 , -5.87994)
378: (x,y)=(-10.9678 , -7.16552)
379: (x,y)=(-12.931 , -6.7839)
380: (x,y)=(-14.7982 , -7.50063)
381: (x,y)=(-16.3742 , -8.73196)
382: (x,y)=(-18.3633 , -8.94101)
383: (x,y)=(-19.9393 , -7.70969)
384: (x,y)=(-18.8209 , -6.05161)
385: (x,y)=(-20.3072 , -7.38988)
386: (x,y)=(-22.1866 , -8.07392)
387: (x,y)=(-22.5339 , -10.0435)
388: (x,y)=(-24.4133 , -9.35949)
389: (x,y)=(-26.2927 , -10.0435)
390: (x,y)=(-27.411 , -8.38546)
391: (x,y)=(-28.6697 , -9.93975)
392: (x,y)=(-28.6348 , -11.9394)
393: (x,y)=(-30.4007 , -11.0005)
394: (x,y)=(-28.4253 , -10.6876)
395: (x,y)=(-27.4863 , -12.4535)
396: (x,y)=(-26.3971 , -10.7762)
397: (x,y)=(-26.7444 , -12.7458)
398: (x,y)=(-25.3302 , -14.16)
399: (x,y)=(-27.3225 , -13.9857)
400: (x,y)=(-29.1636 , -13.2042)
401: (x,y)=(-29.5452 , -15.1675)
402: (x,y)=(-28.2865 , -16.7218)
403: (x,y)=(-26.9225 , -18.1845)
404: (x,y)=(-25.4598 , -19.5485)
405: (x,y)=(-27.3509 , -18.8974)
406: (x,y)=(-29.1484 , -19.7741)
407: (x,y)=(-29.9937 , -21.5867)
408: (x,y)=(-28.2278 , -22.5257)
409: (x,y)=(-26.6735 , -21.267)
410: (x,y)=(-25.4979 , -19.649)
411: (x,y)=(-24.1086 , -18.2103)
412: (x,y)=(-24.5585 , -20.159)
413: (x,y)=(-25.5281 , -21.9083)
414: (x,y)=(-27.5087 , -22.1866)
415: (x,y)=(-29.5011 , -22.3609)
416: (x,y)=(-27.6884 , -23.2062)
417: (x,y)=(-28.0357 , -25.1758)
418: (x,y)=(-26.5494 , -26.5141)
419: (x,y)=(-24.5644 , -26.2703)
420: (x,y)=(-22.7985 , -27.2093)
421: (x,y)=(-21.4091 , -28.6479)
422: (x,y)=(-22.469 , -30.344)
423: (x,y)=(-23.3457 , -32.1416)
424: (x,y)=(-23.9305 , -30.229)
425: (x,y)=(-24.9305 , -28.497)
426: (x,y)=(-23.7549 , -26.8789)
427: (x,y)=(-22.1369 , -25.7034)
428: (x,y)=(-20.2575 , -25.0193)
429: (x,y)=(-18.2821 , -24.7064)
430: (x,y)=(-19.9782 , -25.7663)
431: (x,y)=(-18.6661 , -24.2569)
432: (x,y)=(-20.1982 , -22.9713)
433: (x,y)=(-18.5208 , -21.882)
434: (x,y)=(-16.522 , -21.8122)
435: (x,y)=(-14.8077 , -22.8423)
436: (x,y)=(-14.0263 , -21.0013)
437: (x,y)=(-13.679 , -19.0317)
438: (x,y)=(-15.3173 , -20.1788)
439: (x,y)=(-13.763 , -18.9202)
440: (x,y)=(-14.7326 , -17.1709)
441: (x,y)=(-16.2869 , -15.9123)
442: (x,y)=(-16.1126 , -13.9199)
443: (x,y)=(-16.8618 , -15.7743)
444: (x,y)=(-17.4131 , -17.6968)
445: (x,y)=(-19.0514 , -16.5496)
446: (x,y)=(-18.5001 , -14.6271)
447: (x,y)=(-19.8122 , -16.1365)
448: (x,y)=(-18.398 , -14.7223)
449: (x,y)=(-16.7019 , -13.6625)
450: (x,y)=(-17.3199 , -11.7604)
451: (x,y)=(-15.4178 , -11.1423)
452: (x,y)=(-16.9938 , -12.3737)
453: (x,y)=(-15.0451 , -12.8236)
454: (x,y)=(-16.4344 , -11.3849)
455: (x,y)=(-14.7961 , -12.532)
456: (x,y)=(-15.3809 , -10.6194)
457: (x,y)=(-17.3614 , -10.8978)
458: (x,y)=(-18.537 , -12.5158)
459: (x,y)=(-16.5373 , -12.5507)
460: (x,y)=(-15.8205 , -10.6836)
461: (x,y)=(-14.3342 , -12.0218)
462: (x,y)=(-13.9869 , -13.9914)
463: (x,y)=(-13.7086 , -12.0109)
464: (x,y)=(-11.7332 , -12.3238)
465: (x,y)=(-11.3174 , -14.2801)
466: (x,y)=(-10.8675 , -16.2288)
467: (x,y)=(-10.1835 , -18.1082)
468: (x,y)=(-11.359 , -19.7262)
469: (x,y)=(-12.8453 , -18.388)
470: (x,y)=(-11.1133 , -19.388)
471: (x,y)=(-9.12422 , -19.597)
472: (x,y)=(-10.8901 , -18.6581)
473: (x,y)=(-10.3054 , -20.5707)
474: (x,y)=(-11.1188 , -18.7436)
475: (x,y)=(-9.72952 , -17.3049)
476: (x,y)=(-8.58237 , -18.9432)
477: (x,y)=(-10.5629 , -19.2216)
478: (x,y)=(-12.259 , -18.1617)
479: (x,y)=(-13.7453 , -19.5)
480: (x,y)=(-13.8151 , -17.5012)
481: (x,y)=(-14.2989 , -19.4418)
482: (x,y)=(-15.0481 , -17.5874)
483: (x,y)=(-13.736 , -19.0968)
484: (x,y)=(-14.644 , -20.8789)
485: (x,y)=(-15.4575 , -22.7059)
486: (x,y)=(-17.1536 , -21.6461)
487: (x,y)=(-18.6399 , -22.9844)
488: (x,y)=(-17.4643 , -24.6024)
489: (x,y)=(-18.0156 , -26.5249)
490: (x,y)=(-18.1202 , -24.5277)
491: (x,y)=(-18.8695 , -26.382)
492: (x,y)=(-20.5656 , -27.4419)
493: (x,y)=(-18.6168 , -26.992)
494: (x,y)=(-16.8848 , -27.992)
495: (x,y)=(-16.4009 , -26.0514)
496: (x,y)=(-18.3497 , -25.6015)
497: (x,y)=(-18.9344 , -27.5141)
498: (x,y)=(-16.9454 , -27.305)
499: (x,y)=(-15.4591 , -25.9668)
500: (x,y)=(-15.6681 , -27.9558)
501: (x,y)=(-17.434 , -28.8948)
502: (x,y)=(-17.5038 , -30.8935)
503: (x,y)=(-16.3854 , -29.2355)
504: (x,y)=(-14.4049 , -28.9571)
505: (x,y)=(-12.5505 , -28.2079)
506: (x,y)=(-10.7529 , -29.0846)
507: (x,y)=(-9.38895 , -30.5474)
508: (x,y)=(-9.14521 , -28.5623)
509: (x,y)=(-10.205 , -26.8662)
510: (x,y)=(-12.1974 , -26.6919)
511: (x,y)=(-14.1898 , -26.5175)
512: (x,y)=(-12.2988 , -25.8664)
513: (x,y)=(-11.6808 , -27.7685)
514: (x,y)=(-9.68198 , -27.8383)
515: (x,y)=(-11.0713 , -26.3996)
516: (x,y)=(-9.68198 , -24.961)
517: (x,y)=(-7.79094 , -24.3098)
518: (x,y)=(-9.10306 , -25.8192)
519: (x,y)=(-7.11796 , -26.063)
520: (x,y)=(-7.01329 , -28.0602)
521: (x,y)=(-8.95388 , -28.5441)
522: (x,y)=(-9.73535 , -26.7031)
523: (x,y)=(-7.73656 , -26.7729)
524: (x,y)=(-9.50246 , -27.7118)
525: (x,y)=(-9.25872 , -25.7267)
526: (x,y)=(-8.70745 , -23.8042)
527: (x,y)=(-6.77559 , -23.2866)
528: (x,y)=(-8.54149 , -24.2255)
529: (x,y)=(-7.20323 , -25.7118)
530: (x,y)=(-6.55209 , -27.6028)
531: (x,y)=(-4.62957 , -28.1541)
532: (x,y)=(-6.52061 , -27.503)
533: (x,y)=(-8.43322 , -28.0877)
534: (x,y)=(-8.36342 , -30.0865)
535: (x,y)=(-10.3267 , -29.7049)
536: (x,y)=(-10.3965 , -27.7061)
537: (x,y)=(-11.1779 , -29.5471)
538: (x,y)=(-9.18889 , -29.7562)
539: (x,y)=(-11.1813 , -29.5819)
540: (x,y)=(-12.1509 , -31.3311)
541: (x,y)=(-14.1142 , -30.9495)
542: (x,y)=(-15.6004 , -32.2877)
543: (x,y)=(-16.9387 , -30.8014)
544: (x,y)=(-15.2244 , -31.8315)
545: (x,y)=(-15.329 , -29.8343)
546: (x,y)=(-16.8385 , -28.5221)
547: (x,y)=(-17.5877 , -30.3765)
548: (x,y)=(-18.3369 , -28.5221)
549: (x,y)=(-19.3369 , -30.2542)
550: (x,y)=(-20.3065 , -32.0034)
551: (x,y)=(-18.4939 , -31.1582)
552: (x,y)=(-17.9426 , -29.2357)
553: (x,y)=(-15.9536 , -29.4447)
554: (x,y)=(-14.1126 , -28.6633)
555: (x,y)=(-13.6967 , -30.6196)
556: (x,y)=(-12.4381 , -32.1739)
557: (x,y)=(-10.7238 , -33.2039)
558: (x,y)=(-9.78482 , -34.9698)
559: (x,y)=(-8.03558 , -34.0002)
560: (x,y)=(-7.61976 , -35.9565)
561: (x,y)=(-7.93262 , -33.9811)
562: (x,y)=(-5.99203 , -33.4973)
563: (x,y)=(-4.57782 , -34.9115)
564: (x,y)=(-3.66984 , -36.6935)
565: (x,y)=(-5.52421 , -35.9443)
566: (x,y)=(-3.52908 , -36.0838)
567: (x,y)=(-1.77984 , -35.1142)
568: (x,y)=(-0.365625 , -33.7)
569: (x,y)=(1.60399 , -34.0473)
570: (x,y)=(2.08783 , -32.1067)
571: (x,y)=(0.220674 , -31.3899)
572: (x,y)=(1.93501 , -30.3599)
573: (x,y)=(2.87395 , -32.1258)
574: (x,y)=(3.59069 , -33.9929)
575: (x,y)=(2.38706 , -35.5902)
576: (x,y)=(2.14332 , -37.5753)
577: (x,y)=(2.82736 , -35.6959)
578: (x,y)=(1.79728 , -33.9816)
579: (x,y)=(3.72913 , -33.4639)
580: (x,y)=(5.01471 , -34.996)
581: (x,y)=(3.83914 , -36.6141)
582: (x,y)=(3.94381 , -38.6113)
583: (x,y)=(5.75643 , -37.7661)
584: (x,y)=(5.40913 , -35.7965)
585: (x,y)=(3.45283 , -35.3806)
586: (x,y)=(1.45314 , -35.3457)
587: (x,y)=(1.83476 , -37.309)
588: (x,y)=(0.348468 , -35.9707)
589: (x,y)=(2.31172 , -36.3523)
590: (x,y)=(3.5973 , -37.8844)
591: (x,y)=(4.34651 , -39.7388)
592: (x,y)=(4.38142 , -37.7391)
593: (x,y)=(2.45889 , -38.2904)
594: (x,y)=(1.48927 , -36.5411)
595: (x,y)=(3.28686 , -35.6644)
596: (x,y)=(5.27925 , -35.8387)
597: (x,y)=(4.43401 , -34.0261)
598: (x,y)=(5.01876 , -35.9387)
599: (x,y)=(6.55085 , -34.6531)
600: (x,y)=(8.39186 , -35.4346)
601: (x,y)=(7.2447 , -37.0729)
602: (x,y)=(7.89584 , -35.1819)
603: (x,y)=(6.89584 , -36.9139)
604: (x,y)=(8.31005 , -35.4997)
605: (x,y)=(10.3073 , -35.395)
606: (x,y)=(9.52585 , -33.554)
607: (x,y)=(10.7845 , -35.1083)
608: (x,y)=(11.9316 , -36.7466)
609: (x,y)=(10.7561 , -38.3646)
610: (x,y)=(12.3741 , -39.5402)
611: (x,y)=(11.1428 , -37.9642)
612: (x,y)=(13.0222 , -38.6482)
613: (x,y)=(12.371 , -36.7572)
614: (x,y)=(14.1836 , -35.912)
615: (x,y)=(14.5309 , -33.9423)
616: (x,y)=(14.8093 , -35.9229)
617: (x,y)=(12.9822 , -36.7364)
618: (x,y)=(11.7786 , -38.3336)
619: (x,y)=(12.3966 , -40.2357)
620: (x,y)=(10.456 , -40.7196)
